OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
115,847161427,9002,9002,1/1/2006 0:28:31,Boulder,847161427,84716,P,PO BOX
116,847161428,9002,9002,1/1/2006 0:28:31,Boulder,847161428,84716,P,PO BOX
117,847161429,9002,9002,1/1/2006 0:28:31,Boulder,847161429,84716,P,PO BOX
118,847161430,9002,9002,1/1/2006 0:28:31,Boulder,847161430,84716,P,PO BOX
119,847161431,9002,9002,1/1/2006 0:28:31,Boulder,847161431,84716,P,PO BOX
120,847161432,9002,9002,1/1/2006 0:28:31,Boulder,847161432,84716,P,PO BOX
121,847161433,9002,9002,1/1/2006 0:28:31,Boulder,847161433,84716,P,PO BOX
122,847161434,9002,9002,1/1/2006 0:28:31,Boulder,847161434,84716,P,PO BOX
123,847161435,9002,9002,1/1/2006 0:28:31,Boulder,847161435,84716,P,PO BOX
124,847161436,9002,9002,1/1/2006 0:28:31,Boulder,847161436,84716,P,PO BOX
125,847161437,9002,9002,1/1/2006 0:28:31,Boulder,847161437,84716,P,PO BOX
126,847161438,9002,9002,1/1/2006 0:28:31,Boulder,847161438,84716,P,PO BOX
127,847161439,9002,9002,1/1/2006 0:28:31,Boulder,847161439,84716,P,PO BOX
128,847161440,9002,9002,1/1/2006 0:28:31,Boulder,847161440,84716,P,PO BOX
129,847161441,9002,9002,1/1/2006 0:28:31,Boulder,847161441,84716,P,PO BOX
130,847161442,9002,9002,1/1/2006 0:28:31,Boulder,847161442,84716,P,PO BOX
131,847161443,9002,9002,1/1/2006 0:28:31,Boulder,847161443,84716,P,PO BOX
132,847161444,9002,9002,1/1/2006 0:28:31,Boulder,847161444,84716,P,PO BOX
133,847161445,9002,9002,1/1/2006 0:28:31,Boulder,847161445,84716,P,PO BOX
134,847161446,9002,9002,1/1/2006 0:28:31,Boulder,847161446,84716,P,PO BOX
135,847161447,9002,9002,1/1/2006 0:28:31,Boulder,847161447,84716,P,PO BOX
136,847161448,9002,9002,1/1/2006 0:28:31,Boulder,847161448,84716,P,PO BOX
137,847161449,9002,9002,1/1/2006 0:28:31,Boulder,847161449,84716,P,PO BOX
